,Geo Feature,Feature Type,Buffer Size,Importance \(%\)
0,waterway,stream,3000,0.00756072051263904
1,highway,track,2500,0.007112029006588838
2,building,residential,2900,0.006960398676567072
3,highway,service,2900,0.006844928821713635
4,building,residential,3000,0.006620001845966778
5,building,warehouse,2800,0.006512322532633792
6,amenity,fast_food,3000,0.005817743169094097
7,highway,traffic_signals,2400,0.005757050047354119
8,highway,track,2800,0.005705449143858505
9,waterway,stream,2800,0.005125496643271645
10,building,residential,400,0.0050996318638686835
11,natural,scrub,2800,0.005010624762139429
12,highway,stop,1800,0.004998259132458573
13,tourism,motel,2600,0.004942587129746119
14,highway,crossing,2000,0.00467896299269153
15,highway,traffic_signals,2500,0.004572951456910935
16,building,apartments,2500,0.004396996442702897
17,highway,stop,2200,0.004340243880995156
18,building,warehouse,3000,0.004284636253924171
19,building,industrial,2800,0.004260775892842767
